Response1,Response2,Response3,Response4,Response5,Date
8,13,5,20,11,2023-11-29
7,2,4,12,20,2023-11-29
12,6,4,18,8,2023-11-29
7,17,13,3,7,2023-11-29
16,13,13,9,15,2023-11-29
20,20,5,12,11,2023-11-29
20,19,19,7,14,2023-11-29
7,15,11,16,6,2023-11-29
2,10,14,8,17,2023-11-29
3,1,16,6,10,2023-11-29
5,18,15,15,4,2023-11-29
2,12,4,9,14,2023-11-29
16,5,1,11,20,2023-11-29
2,15,2,11,19,2023-11-29
4,1,11,8,14,2023-11-29
8,15,1,9,7,2023-11-29
17,1,13,15,3,2023-11-29
10,2,2,1,11,2023-11-29
7,20,3,6,19,2023-11-29
4,6,10,11,8,2023-11-29
19,14,8,3,11,2023-11-29
12,11,2,16,14,2023-11-29
16,14,7,14,2,2023-11-29
1,17,19,5,13,2023-11-29
3,9,17,11,11,2023-11-29
2,14,6,4,18,2023-11-29
1,3,2,16,15,2023-11-29
19,14,5,7,18,2023-11-29
8,1,3,19,8,2023-11-29
2,11,9,10,3,2023-11-29
16,10,1,17,9,2023-11-29
14,15,8,3,18,2023-11-29
7,11,6,10,11,2023-11-29
6,3,17,11,10,2023-11-29
12,7,1,19,10,2023-11-29
17,18,8,11,5,2023-11-29
14,12,19,7,20,2023-11-29
8,11,9,7,14,2023-11-29
13,16,14,14,10,2023-11-29
10,10,5,1,15,2023-11-29
10,1,13,5,12,2023-11-29
20,18,7,12,18,2023-11-29
4,12,13,20,20,2023-11-29
14,1,14,15,1,2023-11-29
15,19,14,18,6,2023-11-29
18,18,14,10,19,2023-11-29
5,15,19,12,19,2023-11-29
12,16,14,14,13,2023-11-29
10,10,7,9,17,2023-11-29
1,2,7,1,11,2023-11-29
3,2,5,1,14,2023-11-29
18,1,18,5,7,2023-11-29
6,18,16,12,4,2023-11-29
3,15,12,16,8,2023-11-29
15,20,9,1,19,2023-11-29
3,1,11,12,14,2023-11-29
12,7,10,17,20,2023-11-29
4,1,20,2,18,2023-11-29
5,16,8,9,8,2023-11-29
1,7,20,19,7,2023-11-29
15,2,6,20,11,2023-11-29
11,6,9,13,4,2023-11-29
15,7,12,18,2,2023-11-29
2,19,15,15,20,2023-11-29
2,2,9,8,20,2023-11-29
12,14,8,19,9,2023-11-29
17,11,19,20,17,2023-11-29
2,3,16,13,13,2023-11-29
9,18,17,2,10,2023-11-29
15,13,11,14,13,2023-11-29
1,13,14,19,1,2023-11-29
13,16,11,14,8,2023-11-29
10,1,20,17,14,2023-11-29
19,20,17,8,4,2023-11-29
17,4,8,4,6,2023-11-29
5,2,14,13,7,2023-11-29
10,1,11,16,5,2023-11-29
13,15,2,3,15,2023-11-29
20,14,17,18,12,2023-11-29
